date,USDONTD156N
04/01/2010,0.17375
05/01/2010,0.175
06/01/2010,0.175
07/01/2010,0.175
08/01/2010,0.17313
11/01/2010,0.17313
12/01/2010,0.17313
13/01/2010,0.17313
14/01/2010,0.17188
15/01/2010,0.17188
18/01/2010,.
19/01/2010,0.17188
20/01/2010,0.17063
21/01/2010,0.16938
22/01/2010,0.16938
25/01/2010,0.16938
26/01/2010,0.17063
27/01/2010,0.17063
28/01/2010,0.17063
29/01/2010,0.17313
01/02/2010,0.17063
02/02/2010,0.17313
03/02/2010,0.17313
04/02/2010,0.17188
05/02/2010,0.17313
08/02/2010,0.17063
09/02/2010,0.17063
10/02/2010,0.17063
11/02/2010,0.17063
12/02/2010,0.17188
15/02/2010,.
16/02/2010,0.17125
17/02/2010,0.17125
18/02/2010,0.1725
19/02/2010,0.1725
22/02/2010,0.17625
23/02/2010,0.17594
24/02/2010,0.17406
25/02/2010,0.17406
26/02/2010,0.17375
01/03/2010,0.175
02/03/2010,0.17563
03/03/2010,0.17563
04/03/2010,0.17813
05/03/2010,0.18375
08/03/2010,0.1925
09/03/2010,0.19219
10/03/2010,0.18906
11/03/2010,0.18656
12/03/2010,0.18656
15/03/2010,0.19281
16/03/2010,0.22413
17/03/2010,0.22225
18/03/2010,0.221
19/03/2010,0.221
22/03/2010,0.21975
23/03/2010,0.2185
24/03/2010,0.2185
25/03/2010,0.21725
26/03/2010,0.21813
29/03/2010,0.21688
30/03/2010,0.21825
31/03/2010,0.22513
01/04/2010,0.2195
02/04/2010,.
05/04/2010,.
06/04/2010,0.222
07/04/2010,0.22575
08/04/2010,0.22575
09/04/2010,0.22825
12/04/2010,0.22825
13/04/2010,0.23263
14/04/2010,0.23513
15/04/2010,0.2475
16/04/2010,0.2465
19/04/2010,0.249
20/04/2010,0.25025
21/04/2010,0.25025
22/04/2010,0.25025
23/04/2010,0.25056
26/04/2010,0.24963
27/04/2010,0.25088
28/04/2010,0.25556
29/04/2010,0.25588
30/04/2010,0.26313
03/05/2010,.
04/05/2010,0.26588
05/05/2010,0.27188
06/05/2010,0.27688
07/05/2010,0.32125
10/05/2010,0.3125
11/05/2010,0.3025
12/05/2010,0.29875
13/05/2010,0.29625
14/05/2010,0.2925
17/05/2010,0.3
18/05/2010,0.29563
19/05/2010,0.29875
20/05/2010,0.295
21/05/2010,0.29625
24/05/2010,0.29563
25/05/2010,0.29938
26/05/2010,0.30063
27/05/2010,0.30125
28/05/2010,0.29875
31/05/2010,.
01/06/2010,0.30338
02/06/2010,0.30088
03/06/2010,0.30088
04/06/2010,0.30088
07/06/2010,0.30088
08/06/2010,0.29963
09/06/2010,0.29963
10/06/2010,0.29963
11/06/2010,0.299
14/06/2010,0.29775
15/06/2010,0.2965
16/06/2010,0.2965
17/06/2010,0.29525
18/06/2010,0.29588
21/06/2010,0.29813
22/06/2010,0.29813
23/06/2010,0.29813
24/06/2010,0.29563
25/06/2010,0.29563
28/06/2010,0.29313
29/06/2010,0.29375
30/06/2010,0.30563
01/07/2010,0.30063
02/07/2010,0.295
05/07/2010,.
06/07/2010,0.28875
07/07/2010,0.285
08/07/2010,0.28125
09/07/2010,0.275
12/07/2010,0.27375
13/07/2010,0.27344
14/07/2010,0.27125
15/07/2010,0.27
16/07/2010,0.26875
19/07/2010,0.26375
20/07/2010,0.26094
21/07/2010,0.25719
22/07/2010,0.25125
23/07/2010,0.24781
26/07/2010,0.24594
27/07/2010,0.24563
28/07/2010,0.24313
29/07/2010,0.24213
30/07/2010,0.24094
02/08/2010,0.24031
03/08/2010,0.24031
04/08/2010,0.24031
05/08/2010,0.23781
06/08/2010,0.23781
09/08/2010,0.23656
10/08/2010,0.23594
11/08/2010,0.23313
12/08/2010,0.23125
13/08/2010,0.22938
16/08/2010,0.22875
17/08/2010,0.22663
18/08/2010,0.226
19/08/2010,0.22725
20/08/2010,0.22725
23/08/2010,0.22538
24/08/2010,0.22538
25/08/2010,0.22438
26/08/2010,0.22438
27/08/2010,0.225
30/08/2010,.
31/08/2010,0.22813
01/09/2010,0.22625
02/09/2010,0.22625
03/09/2010,0.22625
06/09/2010,.
07/09/2010,0.22688
08/09/2010,0.22688
09/09/2010,0.22688
10/09/2010,0.22688
13/09/2010,0.22688
14/09/2010,0.22688
15/09/2010,0.22688
16/09/2010,0.2275
17/09/2010,0.22788
20/09/2010,0.22788
21/09/2010,0.22788
22/09/2010,0.22663
23/09/2010,0.22663
24/09/2010,0.22538
27/09/2010,0.22538
28/09/2010,0.225
29/09/2010,0.225
30/09/2010,0.22625
01/10/2010,0.22813
04/10/2010,0.22563
05/10/2010,0.22563
06/10/2010,0.22563
07/10/2010,0.225
08/10/2010,0.225
11/10/2010,.
12/10/2010,0.22563
13/10/2010,0.22563
14/10/2010,0.22688
15/10/2010,0.22688
18/10/2010,0.22688
19/10/2010,0.22625
20/10/2010,0.22688
21/10/2010,0.22688
22/10/2010,0.22563
25/10/2010,0.22563
26/10/2010,0.22563
27/10/2010,0.22563
28/10/2010,0.22563
29/10/2010,0.22563
01/11/2010,0.22563
02/11/2010,0.22563
03/11/2010,0.22563
04/11/2010,0.22563
05/11/2010,0.22563
08/11/2010,0.22563
09/11/2010,0.22563
10/11/2010,0.22563
11/11/2010,.
