secid,date,expiration,ForwardPrice,index_flag
108105,20100104,20100108,1132.759389,1
108105,20100104,20100116,1132.415709,1
108105,20100104,20100220,1130.455018,1
108105,20100104,20100320,1128.927498,1
108105,20100104,20100331,1128.284153,1
108105,20100104,20100417,1127.437056,1
108105,20100104,20100619,1124.334809,1
108105,20100104,20100630,1123.773928,1
108105,20100104,20100918,1120.32966,1
108105,20100104,20100930,1119.861379,1
108105,20100104,20101218,1117.41118,1
108105,20100104,20101231,1117.079453,1
108105,20100104,20110618,1115.046288,1
108105,20100104,20111217,1116.874553,1
108105,20100104,20121222,1131.277941,1
108105,20100105,20100108,1136.345953,1
108105,20100105,20100116,1135.999133,1
108105,20100105,20100220,1134.025281,1
108105,20100105,20100320,1132.479002,1
108105,20100105,20100331,1131.828104,1
108105,20100105,20100417,1130.97024,1
108105,20100105,20100619,1127.786666,1
108105,20100105,20100630,1127.208379,1
108105,20100105,20100918,1123.62472,1
108105,20100105,20100930,1123.131427,1
108105,20100105,20101218,1120.511203,1
108105,20100105,20101231,1120.144623,1
108105,20100105,20110618,1117.599546,1
108105,20100105,20111217,1118.740532,1
108105,20100105,20121222,1131.810121,1
108105,20100106,20100108,1137.023577,1
108105,20100106,20100116,1136.674907,1
108105,20100106,20100220,1134.689436,1
108105,20100106,20100320,1133.128534,1
108105,20100106,20100331,1132.4673,1
108105,20100106,20100417,1131.593158,1
108105,20100106,20100619,1128.33821,1
108105,20100106,20100630,1127.743819,1
108105,20100106,20100918,1124.031619,1
108105,20100106,20100930,1123.517714,1
108105,20100106,20101218,1120.761194,1
108105,20100106,20101231,1120.375311,1
108105,20100106,20110618,1117.637435,1
108105,20100106,20111217,1118.6777,1
108105,20100106,20121222,1131.856286,1
108105,20100107,20100108,1141.631481,1
108105,20100107,20100116,1141.281027,1
108105,20100107,20100220,1139.28511,1
108105,20100107,20100320,1137.714197,1
108105,20100107,20100331,1137.048827,1
108105,20100107,20100417,1136.169001,1
108105,20100107,20100619,1132.883754,1
108105,20100107,20100630,1132.285247,1
108105,20100107,20100918,1128.548078,1
108105,20100107,20100930,1128.031869,1
108105,20100107,20101218,1125.267178,1
108105,20100107,20101231,1124.883332,1
108105,20100107,20110618,1122.235231,1
108105,20100107,20111217,1123.494779,1
108105,20100107,20121222,1137.219964,1
108105,20100108,20100116,1144.628327,1
108105,20100108,20100220,1142.624376,1
108105,20100108,20100320,1141.043389,1
108105,20100108,20100331,1140.372488,1
108105,20100108,20100417,1139.484251,1
108105,20100108,20100619,1136.144325,1
108105,20100108,20100630,1135.530621,1
108105,20100108,20100918,1131.663716,1
108105,20100108,20100930,1131.118131,1
108105,20100108,20101218,1128.142799,1
108105,20100108,20101231,1127.72202,1
108105,20100108,20110618,1124.573293,1
108105,20100108,20111217,1125.37545,1
108105,20100108,20121222,1138.467988,1
108105,20100111,20100116,1146.803741,1
108105,20100111,20100220,1144.792527,1
108105,20100111,20100320,1143.208043,1
108105,20100111,20100331,1142.534151,1
108105,20100111,20100417,1141.641309,1
108105,20100111,20100619,1138.270463,1
108105,20100111,20100630,1137.650769,1
108105,20100111,20100918,1133.736717,1
108105,20100111,20100930,1133.177824,1
108105,20100111,20101218,1130.107808,1
108105,20100111,20101231,1129.666577,1
108105,20100111,20110618,1126.245679,1
108105,20100111,20111217,1126.77663,1
108105,20100111,20121222,1139.513712,1
108105,20100112,20100116,1136.103525,1
108105,20100112,20100220,1134.109247,1
108105,20100112,20100320,1132.53859,1
108105,20100112,20100331,1131.870582,1
108105,20100112,20100417,1130.985522,1
108105,20100112,20100619,1127.630409,1
108105,20100112,20100630,1127.010601,1
108105,20100112,20100918,1123.078884,1
108105,20100112,20100930,1122.514511,1
108105,20100112,20101218,1119.396086,1
108105,20100112,20101231,1118.94485,1
108105,20100112,20110618,1115.339054,1
108105,20100112,20111217,1115.524656,1
108105,20100112,20121222,1127.11584,1
108105,20100113,20100116,1145.621389,1
108105,20100113,20100220,1143.600167,1
108105,20100113,20100320,1142.01689,1
108105,20100113,20100331,1141.344539,1
108105,20100113,20100417,1140.455164,1
108105,20100113,20100619,1137.101326,1
108105,20100113,20100630,1136.483478,1
108105,20100113,20100918,1132.584675,1
108105,20100113,20100930,1132.02938,1
108105,20100113,20101218,1128.986239,1
108105,20100113,20101231,1128.552602,1
108105,20100113,20110618,1125.222753,1
108105,20100113,20111217,1125.710077,1
108105,20100113,20121222,1137.864901,1
108105,20100114,20100116,1148.46,1
108105,20100114,20100220,1146.433422,1
108105,20100114,20100320,1144.84684,1
108105,20100114,20100331,1144.171604,1
108105,20100114,20100417,1143.277724,1
108105,20100114,20100619,1139.875277,1
108105,20100114,20100630,1139.245981,1
108105,20100114,20100918,1135.24908,1
108105,20100114,20100930,1134.675169,1
108105,20100114,20101218,1131.50136,1
108105,20100114,20101231,1131.043236,1
108105,20100114,20110618,1127.378632,1
108105,20100114,20111217,1127.474995,1
108105,20100114,20121222,1138.842238,1
108105,20100115,20100122,1135.622477,1
108105,20100115,20100220,1134.081052,1
108105,20100115,20100320,1132.510495,1
108105,20100115,20100331,1131.840617,1
108105,20100115,20100417,1130.953131,1
108105,20100115,20100619,1127.557959,1
108105,20100115,20100630,1126.93908,1
108105,20100115,20100918,1123.025964,1
108105,20100115,20100930,1122.448542,1
108105,20100115,20101218,1119.230254,1
108105,20100115,20101231,1118.759961,1
108105,20100115,20110618,1114.864422,1
108105,20100115,20111217,1114.563724,1
108105,20100115,20121222,1124.867368,1
108105,20100119,20100122,1150.052677,1
108105,20100119,20100220,1148.479724,1
108105,20100119,20100320,1146.880537,1
108105,20100119,20100331,1146.199854,1
